ID,YouTube URL,Rating,Tier,Title,Difficulty
9dI8ilPi9bd9blI6Q8D6IPb1lblqDl1Q,https://www.youtube.com/watch?v=pY4PYMb1rII,17,0.4,Black Emperor,0 ESP
9DoD10OPQ999IlP0doo69olbOQ680q09,https://www.youtube.com/watch?v=QwQHy0Dj4_g,17,0.65,Avenger (安倍/あべ/アベ),0 ESP
9i6dOd608qb0IlqoDIPb8q1o8q1ddQQd,https://www.youtube.com/watch?v=3fzEbfdNEoE,17,0.65,FUNKY SUMMER BEACH,0 CSP
9IdoP1ld9098PI90QQ6bP0Idl1ibo80D,https://www.youtube.com/watch?v=QlZGi_6510I,17,0.1,Glitch Angel,0 ESP
9ioI0IQ16OPb1Q0q8Oqdd6D9dPqDb618,https://www.youtube.com/watch?v=ZZ6o174XRZM,17,0.85,コメット⇒スケイター (Comet Skater),0 CSP
9oIO98IPOiq1idiIIbOOqdDQIOdQPPd6,https://www.youtube.com/watch?v=HMhiCBT52i8,17,0.5,ウサテイ (Usatei),0 CSP
9oll10Dq1qdbPQl68OQ8dOd9q86999i1,https://www.youtube.com/watch?v=NnKpvoAImj4,17,0.45,Throw Out,0 CSP
9PO0qPdi1OQo68Qb09qdIOo6008QoIPq,https://www.youtube.com/watch?v=17n3nVkCQD4,17,0.95,量子の海のリントヴルム (STARDOM Remix) (Ryoushi no Umi no Lindwurm STARDOM Remix),0 CSP
b0o6bl18Q1bqI9o9oqQ9POoP8DiDDibP,https://www.youtube.com/watch?v=MacGnjR0_50,17,0.65,Drive Away,0 ESP
b16OP1o9qb6bQd66qOl98iq0boiQP919,https://www.youtube.com/watch?v=dsABvCE4vYU,17,0.8,CHAOS Terror-Tech Mix,0 CSP
b1QllqO8oQdqo086QdIlIblDDbPodDoP,https://www.youtube.com/watch?v=3jU7rL8py8c,17,0.4,Lose Your Sense,0 ESP
bd8OODli0POo9bOq6i0oIPdIlbDlI910,https://www.youtube.com/watch?v=U3Aij1SJuPQ,17,0.45,GERBERA,0 ESP
bdP0IOiPiQ8OlIbD1QQO8O6dPQqqb1Qb,https://www.youtube.com/watch?v=8WRdZbtsqyQ,17,0.55,音楽 (STARDOM Remix) (Ongaku STARDOM Remix),0 CSP
bl90QbiqoOlDI6iQQQdo0Iol6PIdQblP,https://www.youtube.com/watch?v=QrxVxiRpoj0,17,0.55,Pursuer,0 ESP
bll06Di6q1QOlddDlPDPiQDDI09bOOoP,https://www.youtube.com/watch?v=yUwhbgR9Nao,17,0.4,Come To m1dy,0 ESP
bo6PqbbPQ6D096OIP6dDPbPPiDi88609,https://www.youtube.com/watch?v=v4TJYTwgSpg,17,0.65,Spanish Snowy Dance (スパニッシュ),0 CSP
boqo0IoO8DodOl99Q8P8qOi8PqDq11b1,https://www.youtube.com/watch?v=tA2PbAfY-jw,17,0.8,スーパー戦湯ババンバーン (Super Sentou BaBan Burn/Super Battle Bath Baban Burn),0 CSP
D08lqQOPdOO6D6ll690Qd6PdbO111011,https://www.youtube.com/watch?v=W6V-vnzQs6U,17,0.5,ランカーキラーガール (Ranker Killer Girl),0 ESP
d10d86DQqqd6QDlQlOI1bQi9do66l8Od,https://www.youtube.com/watch?v=NYn-s3GTkGA,17,0.45,MUTEKI BUFFALO,0 CSP
D6IQ1O1D00D1o8IQq0O9qqIibqDiiO0i,https://www.youtube.com/watch?v=QGcbn9YTkpY,17,0.6,London EVOLVED ver.A (ロンドンA),0 CSP
d810q0I8q6d0l1POlIO6d66bOPb96dql,https://www.youtube.com/watch?v=8ilen1YLxZ4,17,0.5,Triple Counter (トリカン),0 ESP
D89QP18016o01qoOi60I6Q19dlOQPbdo,https://www.youtube.com/watch?v=VcRXs0BLrHg,17,0.55,Anti-Matter (アンチ),0 ESP
D8q1ObblD0i6liQ0OD6OdD0qIo9oPldb,https://www.youtube.com/watch?v=e1VRy0b7ODE,17,0.3,PRANA+REVOLUTIONARY ADDICT (U1 DJ Mix),0 ESP
D9lq0DioIl9D6ll0d61990DP9qPPb1dP,https://www.youtube.com/watch?v=Lc86e_BPH4g,17,0.1,True Blue,0 CSP
db6q6DlPd68bbQOOQ99OI1I9QD8PqDo8,https://www.youtube.com/watch?v=HyCdzfq7_po,17,0.25,恋歌疾風！かるたクイーンいろは (Koiuta Karuta Queen Iroha),0 CSP
dbIQ6o1lDi1OqqdO60q0lqqD9qPD0qlP,https://www.youtube.com/watch?v=gZ36aIUjJcI,17,0.95,Blφφdy Cφncertφ,0 CSP
DdIo9DQ0ddDld99DQdiiqbPP06OI91I0,https://www.youtube.com/watch?v=24sUI5ecesE,17,0.1,New Era,0 ESP
dDlDPddq08iD8IOb9I1PbODP9696966D,https://www.youtube.com/watch?v=AiDYtT0-pOs,17,0,プレインエイジア -PHQ remix- (Plain Asia PHQ remix),0 CSP
ddqQ801q1lIdIooDiq66qPil1oD0611I,https://www.youtube.com/watch?v=L4AM9UH2CpU,17,0.4,Let's DANCE aROUND!!,0 CSP
dDQqqIQlDQ9POd90OPl9Dd1i106odDl0,https://www.youtube.com/watch?v=JBqRLNotZd4,17,0.6,JOMANDA,0 CSP
Di0ODIlddo8d90oo09qqd98QObQP1llI,https://www.youtube.com/watch?v=B3wiHpfyLI4,17,0.65,[ ]DENTITY (IDENTITY),0 ESP
dIdDQD1Q8oPQ90Q1DPbiQI661qD9oi6I,https://www.youtube.com/watch?v=9wzg7kl_nXs,17,0.6,Golden Arrow,0 CSP
diq9D0qbI00iOOb69q6Q1Q90PQOlo6dl,https://www.youtube.com/watch?v=7qWq1MzcZQg,17,0.25,パーフェクトイーター (Perfect Eater),0 ESP
Dl91ldlb8PODoO96OI801DP0PPl8Plqi,https://www.youtube.com/watch?v=T3d_XD9cKtg,17,0.1,ONYX,0 CSP
Dlo0PPibIoQbOI8I61O1DobQOIiDb11b,https://www.youtube.com/watch?v=wj4TFXCTgfI,17,0.55,Ganymede -re:born-,0 CSP
dOb880lOloIIod00PQ1iQOQqlOOQ0Ql0,https://www.youtube.com/watch?v=FQOlL80CmZY,17,0.1,Be a Hero!,0 ESP
dPI9loII89Q6P6iD6Ioo1iiI880DI1Dd,https://www.youtube.com/watch?v=YGarytjC55Q,17,0.5,量子の海のリントヴルム (Ryoushi no Umi no Lindwurm/VocaloidLindwurm),0 ESP
Dqb69lDiP6diId6O8Q0I6bbQI88lPlb0,https://www.youtube.com/watch?v=6hHyE6_IH8k,17,0.5,Stand Alone Beat Masta (Stand Alone Beat Master),0 CSP
dQODIo01o98oPll086Qdol8bq9QP8d61,https://www.youtube.com/watch?v=6bA7-Iy4YI0,17,0.55,DDR TAGMIX -LAST DanceR-,0 ESP
dQPPd10QO9d8IiOiIi8iDD1Qdq8lQli0,https://www.youtube.com/watch?v=14D4MpBrtCQ,17,0.2,PARANOiA (kskst mix) (パラコロ/パラカス/パラks),0 ESP
dqQbQ9oPlIi6bDdi18d9qPlDb0PiDddi,https://www.youtube.com/watch?v=9RMWVvmO0w8,17,0,DIGITALIZER,0 ESP
I0091lboOD1Dii10dQ0qbDqil69PQ0io,https://www.youtube.com/watch?v=tqrl4qrdDDU,17,0.2,WARNING×​WARNING×​WARNING,0 CSP
i080lP1QqIiO998qPl888qboIiIDdiD1,https://www.youtube.com/watch?v=iL1_NjwGdn8,17,0.55,絶対零度 (Zettaireido),0 ESP
I0dOli6do1l1008I8PllOq8DoOoIO8oq,https://www.youtube.com/watch?v=mBfaqWR9h8E,17,0.9,Steps for Victory,0 ESP
i0Q0o98q0DqbbiDd6966QIIoddlob6lI,https://www.youtube.com/watch?v=GuzYzhgYA20,17,0.7,TYPHØN,0 ESP
I0qiD6Ob86D1oQOib81lID6Dll8iOOOP,https://www.youtube.com/watch?v=gN7HXhSVO0c,17,0.5,ホーンテッド★メイドランチ (Haunted Maid Lunch/Hinabitahaunted),0 CSP
i6bl89d6OOi1O00qlQOIl8b8Qld6IiQP,https://www.youtube.com/watch?v=AmUVjcLDu7k,17,0.4,DEADLOCK -Out Of Reach-,0 ESP
i8II16blIIbQQd196b616OPbPO910oi9,https://www.youtube.com/watch?v=TSrR6fe2y3g,17,0.8,LOVE THIS FEELIN',0 CSP
I9Oood9l9li0D08Q6d6DQPiIQiloidO6,https://www.youtube.com/watch?v=eTzX9h4dz0M,17,0.65,Riot of Color,0 CSP
i9PQoDbQI0qqd6I00d19bQo6q9PoOIbO,https://www.youtube.com/watch?v=xpbVPa8M5tc,17,0.65,Good Looking,0 CSP
IPq8dO1lD8qidDlI0ObboI9IIldQO6IQ,https://www.youtube.com/watch?v=uoiV3g70zWc,17,0.4,RЁVOLUTIФN (レボリューション),0 CSP
IQ0ID09qD6O1oOdIq0oilI8I8l9DlP9b,https://www.youtube.com/watch?v=Rye_MhbNYBE,17,0.55,セツナトリップ (Setsuna Trip/Vocaloidsetsuna),0 CSP
IqPq866IQD0liq9lOl00qDqiPlq9bOD0,https://www.youtube.com/watch?v=z3EPfB5wXlw,17,0.35,BabeL ～Next Story～,0 CSP
IQqi9Q9qD0DDQIqQOb868QIOioqDqI01,https://www.youtube.com/watch?v=cKOC3mIIf0I,17,0.3,Triple Cross,0 ESP
l666Dd0bIO9O69boPd898b19bPDo1IdO,https://www.youtube.com/watch?v=QHHxsj9wJ7U,17,0.8,starmine (トラン),0 CSP
l6d0ibbliQPQDdb1lP18D9qbPDi1698b,https://www.youtube.com/watch?v=u73ngSiOjOk,17,0.35,ÆTHER (エーテル),0 ESP
l9QibD8IoooD9DIl1O8Q0lo89I9qdido,https://www.youtube.com/watch?v=xy3c-C9-jn0,17,0.8,世界の果てに約束の凱歌を -DDR Extended Megamix- (Sekai no Hate ni Yakusoku no Gaika wo DDR Extended Megamix),0 ESP
lliDD9qPqiIDI8P9bb18IO60l9D061Io,https://www.youtube.com/watch?v=HwJIIhrKMgQ,17,0.65,SISYPHUS,0 ESP
loD8qPl09qqi0o1iqbbDOdllDblioDIl,https://www.youtube.com/watch?v=a45QRuHQqOM,17,0.25,3y3s (Eyes),0 ESP
o068b00O6QD8lo9O1i9PbQlqO6IQOidD,https://www.youtube.com/watch?v=q2r3mhS1pok,17,0.35,New Century (ニューセン),0 ESP
o0l1Qioq1i9iQl6b9q6il0iqi1b1OQ9b,https://www.youtube.com/watch?v=qh3g0HwqsCU,17,0.7,New Decade (ニューディケ),0 ESP
o1biqbO9i1IiObD0d1D8d8iqb6q86Qqi,https://www.youtube.com/watch?v=LgiP2yt0jn4,17,0.15,Daisycutter,0 ESP
O6llIdODQD6oDQ6QiPQDOlob9i8l6qib,https://www.youtube.com/watch?v=aslEN821dCg,17,0.6,Fascination MAXX (FaXX/ファックス),0 ESP
o89biodIl0Oo1bQqll86QDi0oQQd61Db,https://www.youtube.com/watch?v=s--S4k9iQB8,17,0.4,Sparkle Dreams,0 ESP
O9Odqd8qiQiOqQdOOq01D8OQlOiO1iPD,https://www.youtube.com/watch?v=13TCblyqBME,17,0.1,Megalara Garuda,0 ESP
O9qDQOQO8dDDIiO9dPP0Pb8qQo9l89D9,https://www.youtube.com/watch?v=89XqYQfrY6I,17,0.9,最小三倍完全数 (Saishou Sanbai Kanzensuu/Smallest Triperfect Number/Smallest 3K Perfect Number/120),0 ESP
ob6IPbiqD969Q66808obd908DI81bqPi,https://www.youtube.com/watch?v=j_hb3j40ScA,17,0,I-W-U (I Want U) (IWU I Want You),0 ESP
Od6bOOb69PqbqPdb6lO1QI66DOqo0POO,https://www.youtube.com/watch?v=KeufBwvNhCQ,17,0.55,chaplet,0 ESP
OddDoQ6dqi0QdQDDOO6qlO08d8bPbli1,https://www.youtube.com/watch?v=-RMWKDq9oq4,17,0.8,Tohoku EVOLVED (東北),0 ESP
OdlOPPblPlbbldOdqblI06Dd1q00PPo9,https://www.youtube.com/watch?v=ZOU6PZPy8fs,17,0.3,Emera,0 CSP
odPq866q0QPOP9QOQ9QQIlIO60Oid16o,https://www.youtube.com/watch?v=fCR56Eq3YdQ,17,0.4,C-C-C-N-N-N (C3N3),0 CSP
OiIOPd80d9PQQIbidO6ObioboO88OD9l,https://www.youtube.com/watch?v=dUOWC8Kpkq0,17,0.1,Elemental Creation (エレクリ),0 ESP
Ol8PPooqO8iOqQ6900o0q0QI9dPo0O0b,https://www.youtube.com/watch?v=6KlU2bn5TM4,17,0.3,Rampage Hero,0 CSP
